HeartRate,Rhythm,PRInterval,QRS,Axis,STSegment,TWave,QTc,PWave,Class
129,VF,0.15,0.13,125,1.65,Tall,452,Normal,Critical
89,Irregular,0.29,0.11,-107,0.31,Tall,427,Normal,Critical
85,VF,0.24,0.11,-24,0.58,Flat,415,Enlarged/Biphasic,Risky
93,VF,0.27,0.09,3,-1.36,Biphasic,459,Enlarged/Biphasic,Critical
66,Irregular,0.15,0.09,56,-1.68,Mild Inverted,368,Enlarged/Biphasic,Critical
81,VF,0.23,0.14,13,-0.36,Normal,371,Absent/Flutter,Critical
85,PACs/PVCs,0.24,0.09,-79,1.21,Mild Inverted,358,Enlarged/Biphasic,Critical
71,PACs/PVCs,0.27,0.1,25,0.18,Flat,400,Normal,Critical
100,Irregular,0.3,0.11,73,1.18,Mild Inverted,404,Enlarged/Biphasic,Critical
53,VF,0.14,0.13,-19,0.46,Mild Inverted,347,Enlarged/Biphasic,Critical
77,PACs/PVCs,0.11,0.08,-4,-1.04,Mild Inverted,449,Absent/Flutter,Critical
50,PACs/PVCs,0.11,0.08,-3,-0.0,Tall,347,Absent/Flutter,Critical
80,VF,0.3,0.13,-95,1.88,Tall,454,Normal,Critical
118,AFib,0.15,0.08,-102,-1.38,Deep Inverted,448,Absent/Flutter,Critical
99,AFib,0.2,0.11,-106,1.86,Flat,489,Normal,Critical
89,VF,0.25,0.15,-43,-0.98,Biphasic,493,Enlarged/Biphasic,Critical
91,AFib,0.29,0.11,-106,-1.09,Tall,469,Normal,Critical
45,AFib,0.24,0.16,30,1.25,Flat,452,Normal,Critical
88,Irregular,0.22,0.14,-92,1.75,Flat,385,Enlarged/Biphasic,Critical
93,PACs/PVCs,0.28,0.12,18,1.18,Biphasic,450,Absent/Flutter,Critical
109,AFib,0.24,0.1,0,-0.56,Normal,423,Enlarged/Biphasic,Risky
89,Irregular,0.26,0.1,75,-0.46,Flat,391,Normal,Critical
64,Regular,0.27,0.14,-99,1.87,Mild Inverted,467,Enlarged/Biphasic,Critical
95,Regular,0.14,0.09,71,0.83,Flat,387,Absent/Flutter,Critical
115,Regular,0.17,0.1,53,1.89,Flat,345,Normal,Critical
115,AFib,0.17,0.12,34,-0.46,Normal,485,Absent/Flutter,Critical
113,AFib,0.29,0.08,-57,-0.02,Normal,355,Enlarged/Biphasic,Critical
120,PACs/PVCs,0.21,0.13,147,1.71,Biphasic,438,Normal,Critical
